location,event_name,start_datetime,end_datetime
Pryzm,Glitterbaby,19/04/2019 22:00,20/04/2019 02:00
Pryzm,Glitterbaby,26/04/2019 22:00,27/04/2019 02:00
Pryzm,Glitterbaby,03/05/2019 22:00,04/05/2019 02:00
Pryzm,Glitterbaby,10/05/2019 22:00,11/05/2019 02:00
Pryzm,Glitterbaby,17/05/2019 22:00,18/05/2019 02:00
Pryzm,Glitterbaby,24/05/2019 22:00,25/05/2019 02:00
Pryzm,Glitterbaby,31/05/2019 22:00,01/06/2019 02:00
Pryzm,Glitterbaby,07/06/2019 22:00,08/06/2019 02:00
Pryzm,Glitterbaby,14/06/2019 22:00,15/06/2019 02:00
Pryzm,Glitterbaby,21/06/2019 22:00,22/06/2019 02:00
Pryzm,Glitterbaby,28/06/2019 22:00,29/06/2019 02:00
Pryzm,Glitterbaby,05/07/2019 22:00,06/07/2019 02:00
Pryzm,Pryzm Saturday,28/09/2018 22:00,29/09/2018 02:00
Pryzm,Pryzm Saturday,05/10/2018 22:00,06/10/2018 02:00
Pryzm,Pryzm Saturday,12/10/2018 22:00,13/10/2018 02:00
Pryzm,Pryzm Saturday,19/10/2018 22:00,20/10/2018 02:00
Pryzm,Pryzm Saturday,26/10/2018 22:00,27/10/2018 02:00
Pryzm,Pryzm Saturday,02/11/2018 22:00,03/11/2018 02:00
Pryzm,Pryzm Saturday,09/11/2018 22:00,10/11/2018 02:00
Pryzm,Pryzm Saturday,16/11/2018 22:00,17/11/2018 02:00
Pryzm,Pryzm Saturday,23/11/2018 22:00,24/11/2018 02:00
Pryzm,Pryzm Saturday,30/11/2018 22:00,01/12/2018 02:00
Pryzm,Pryzm Saturday,07/12/2018 22:00,08/12/2018 02:00
Pryzm,Pryzm Saturday,14/12/2018 22:00,15/12/2018 02:00
Pryzm,Pryzm Saturday,21/12/2018 22:00,22/12/2018 02:00
Pryzm,Pryzm Saturday,28/12/2018 22:00,29/12/2018 02:00
Pryzm,Pryzm Saturday,04/01/2019 22:00,05/01/2019 02:00
Pryzm,Pryzm Saturday,11/01/2019 22:00,12/01/2019 02:00
Pryzm,Pryzm Saturday,18/01/2019 22:00,19/01/2019 02:00
Pryzm,Pryzm Saturday,25/01/2019 22:00,26/01/2019 02:00
Pryzm,Pryzm Saturday,01/02/2019 22:00,02/02/2019 02:00
Pryzm,Pryzm Saturday,08/02/2019 22:00,09/02/2019 02:00
Pryzm,Pryzm Saturday,15/02/2019 22:00,16/02/2019 02:00
Pryzm,Pryzm Saturday,22/02/2019 22:00,23/02/2019 02:00
Pryzm,Pryzm Saturday,01/03/2019 22:00,02/03/2019 02:00
Pryzm,Pryzm Saturday,08/03/2019 22:00,09/03/2019 02:00
Pryzm,Pryzm Saturday,15/03/2019 22:00,16/03/2019 02:00
Pryzm,Pryzm Saturday,22/03/2019 22:00,23/03/2019 02:00
Pryzm,Pryzm Saturday,29/03/2019 22:00,30/03/2019 02:00
Pryzm,Pryzm Saturday,05/04/2019 22:00,06/04/2019 02:00
Pryzm,Pryzm Saturday,12/04/2019 22:00,13/04/2019 02:00
Pryzm,Pryzm Saturday,19/04/2019 22:00,20/04/2019 02:00
Pryzm,Pryzm Saturday,26/04/2019 22:00,27/04/2019 02:00
Pryzm,Pryzm Saturday,03/05/2019 22:00,04/05/2019 02:00
Pryzm,Pryzm Saturday,10/05/2019 22:00,11/05/2019 02:00
Pryzm,Pryzm Saturday,17/05/2019 22:00,18/05/2019 02:00
Pryzm,Pryzm Saturday,24/05/2019 22:00,25/05/2019 02:00
Pryzm,Pryzm Saturday,31/05/2019 22:00,01/06/2019 02:00
Pryzm,Pryzm Saturday,07/06/2019 22:00,08/06/2019 02:00
Pryzm,Pryzm Saturday,14/06/2019 22:00,15/06/2019 02:00
Pryzm,Pryzm Saturday,21/06/2019 22:00,22/06/2019 02:00
Pryzm,Pryzm Saturday,28/06/2019 22:00,29/06/2019 02:00
Pryzm,Pryzm Saturday,05/07/2019 22:00,06/07/2019 02:00
Various,Purple Wednesday,26/09/2018 22:00,27/09/2018 02:00
Various,Purple Wednesday,03/10/2018 22:00,04/10/2018 02:00
Various,Purple Wednesday,10/10/2018 22:00,11/10/2018 02:00
Various,Purple Wednesday,17/10/2018 22:00,18/10/2018 02:00
Various,Purple Wednesday,24/10/2018 22:00,25/10/2018 02:00
Various,Purple Wednesday,31/10/2018 22:00,01/11/2018 02:00
Various,Purple Wednesday,07/11/2018 22:00,08/11/2018 02:00
Various,Purple Wednesday,14/11/2018 22:00,15/11/2018 02:00
Various,Purple Wednesday,21/11/2018 22:00,22/11/2018 02:00
Various,Purple Wednesday,28/11/2018 22:00,29/11/2018 02:00
Various,Purple Wednesday,05/12/2018 22:00,06/12/2018 02:00
Various,Purple Wednesday,12/12/2018 22:00,13/12/2018 02:00
Various,Purple Wednesday,19/12/2018 22:00,20/12/2018 02:00
Various,Purple Wednesday,26/12/2018 22:00,27/12/2018 02:00
Various,Purple Wednesday,02/01/2019 22:00,03/01/2019 02:00
