lecture_weeks - Split 1,lecture_weeks - Split 2,lecture_weeks - Split 3,lecture_weeks - Split 4,lecture_weeks - Split 5,lecture_weeks - Split 6,lecture_weeks - Split 7,lecture_weeks - Split 8,lecture_weeks - Split 9,lecture_weeks - Split 10,lecture_id,unit_code,lecture_start_time,lecture_day,unit_name,lecture_end_time,module_type,lecture_weeks
15,17,19,22,24,26,,,,,13097,U21272,30/12/1899 15:00:00,Mon,GETTING USABILITY INTO DEVELOPMENT ENVIRONMENTS,30/12/1899 17:00:00,Lect,"15,17,19,22,24,26"
2,,,,,,,,,,13098,U24123,30/12/1899 09:00:00,Thu,GROUP INDUSTRIAL PROJECT,30/12/1899 12:55:00,Work,2
3,4,5,,,,,,,,13099,U24123,30/12/1899 09:00:00,Thu,GROUP INDUSTRIAL PROJECT,30/12/1899 11:00:00,Work,"3,4,5"
6,8,9,10,11,12,13,,,,13100,U24123,30/12/1899 09:00:00,Thu,GROUP INDUSTRIAL PROJECT,30/12/1899 10:00:00,Tut,"6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13101,U24123,30/12/1899 09:00:00,Thu,GROUP INDUSTRIAL PROJECT,30/12/1899 10:00:00,Tut,"14,15,16,17,18,19,21,22,23,24,25,26"
2,4,6,9,11,13,,,,,13102,U21285,30/12/1899 09:00:00,Tue,HUMAN COMPUTER INTERACTION DESIGN,30/12/1899 11:00:00,Lect,"2,4,6,9,11,13"
3,,,,,,,,,,13103,U21285,30/12/1899 10:00:00,Fri,HUMAN COMPUTER INTERACTION DESIGN,30/12/1899 11:00:00,Pract,3
3,8,,,,,,,,,13104,U21285,30/12/1899 09:00:00,Mon,HUMAN COMPUTER INTERACTION DESIGN,30/12/1899 10:00:00,Pract,"3,8"
5,,,,,,,,,,13105,U21285,30/12/1899 09:00:00,Thu,HUMAN COMPUTER INTERACTION DESIGN,30/12/1899 11:00:00,Pract,5
8,,,,,,,,,,13106,U21285,30/12/1899 11:00:00,Fri,HUMAN COMPUTER INTERACTION DESIGN,30/12/1899 12:00:00,Pract,8
10,12,,,,,,,,,13107,U21285,30/12/1899 09:00:00,Tue,HUMAN COMPUTER INTERACTION DESIGN,30/12/1899 11:00:00,Pract,"10,12"
14,16,18,21,23,25,,,,,13108,U21285,30/12/1899 09:00:00,Tue,HUMAN COMPUTER INTERACTION DESIGN,30/12/1899 11:00:00,Pract,"14,16,18,21,23,25"
15,17,19,22,24,26,,,,,13109,U21285,30/12/1899 09:00:00,Tue,HUMAN COMPUTER INTERACTION DESIGN,30/12/1899 11:00:00,Lect,"15,17,19,22,24,26"
2,3,4,5,6,8,9,10,11,12,13110,P22919,30/12/1899 09:00:00,Fri,ICT CONFIGURATION AND ADMINISTRATION,30/12/1899 10:00:00,Comp,"2,3,4,5,6,8,9,10,11,12,13"
2,3,4,5,6,8,9,10,11,12,13111,P22919,30/12/1899 10:00:00,Fri,ICT CONFIGURATION AND ADMINISTRATION,30/12/1899 13:00:00,Comp,"2,3,4,5,6,8,9,10,11,12,13"
14,,,,,,,,,,13112,P22919,30/12/1899 15:00:00,Fri,ICT CONFIGURATION AND ADMINISTRATION,30/12/1899 17:00:00,Test-IC,14
4,5,,,,,,,,,13113,U24739,30/12/1899 09:00:00,Fri,INDIVIDUAL PROJECT (ENGINEERING),30/12/1899 10:00:00,Lect,"4,5"
2,3,4,5,6,8,9,10,11,12,13114,U22342,30/12/1899 12:00:00,Thu,INFORMATION SYSTEMS AND PROJECT MANAGEMENT,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
2,3,4,5,6,8,9,10,11,12,13297,U21264,30/12/1899 12:00:00,Fri,WEB-SCRIPT PROGRAMMING,30/12/1899 13:00:00,Lect,"2,3,4,5,6,8,9,10,11,12,13"
14,15,16,17,18,19,21,22,23,24,13115,U22342,30/12/1899 12:00:00,Thu,INFORMATION SYSTEMS AND PROJECT MANAGEMENT,30/12/1899 13:00:00,Lect,"14,15,16,17,18,19,21,22,23,24,25,26"
14,15,16,17,18,19,,,,,13116,P22242,30/12/1899 09:00:00,Mon,INFORMATION SYSTEMS DEVELOPMENT,30/12/1899 12:58:00,Pract,"14,15,16,17,18,19"
21,22,23,25,26,,,,,,13117,P22242,30/12/1899 09:00:00,Mon,INFORMATION SYSTEMS DEVELOPMENT,30/12/1899 11:00:00,Pract,"21,22,23,25,26"
21,22,23,25,27,,,,,,13118,P22242,30/12/1899 11:00:00,Mon,INFORMATION SYSTEMS DEVELOPMENT,30/12/1899 13:00:00,Pract,"21,22,23,25,27"
26,,,,,,,,,,13119,P22242,30/12/1899 09:00:00,Fri,INFORMATION SYSTEMS DEVELOPMENT,30/12/1899 12:55:00,Work,26
26,,,,,,,,,,13120,P22242,30/12/1899 13:00:00,Fri,INFORMATION SYSTEMS DEVELOPMENT,30/12/1899 17:00:00,Work,26
14,,,,,,,,,,13121,P22437,30/12/1899 16:00:00,Mon,INFORMATION SYSTEMS MANAGEMENT,30/12/1899 18:00:00,Pract,14
14,15,16,17,18,19,,,,,13122,P22437,30/12/1899 14:00:00,Mon,INFORMATION SYSTEMS MANAGEMENT,30/12/1899 16:00:00,Lect,"14,15,16,17,18,19"
15,16,17,18,19,,,,,,13123,P22437,30/12/1899 16:00:00,Mon,INFORMATION SYSTEMS MANAGEMENT,30/12/1899 18:00:00,Sem,"15,16,17,18,19"
21,22,23,25,26,,,,,,13124,P22437,30/12/1899 14:00:00,Mon,INFORMATION SYSTEMS MANAGEMENT,30/12/1899 16:00:00,Lect,"21,22,23,25,26"
21,22,23,25,27,,,,,,13125,P22437,30/12/1899 16:00:00,Mon,INFORMATION SYSTEMS MANAGEMENT,30/12/1899 18:00:00,Sem,"21,22,23,25,27"
17,,,,,,,,,,13126,P22437,30/12/1899 09:00:00,Fri,INFORMATION SYSTEMS MANAGEMENT,30/12/1899 12:55:00,Work,17
17,,,,,,,,,,13127,P22437,30/12/1899 13:00:00,Fri,INFORMATION SYSTEMS MANAGEMENT,30/12/1899 17:00:00,Work,17
14,15,16,17,18,19,21,22,23,24,13128,U22510,30/12/1899 16:00:00,Wed,INFORMATION SYSTEMS MANAGEMENT (DL),30/12/1899 19:00:00,DL,"14,15,16,17,18,19,21,22,23,24,25,26"
2,5,9,11,12,,,,,,13129,P22436,30/12/1899 09:00:00,Mon,INTERACTION IN COMPUTER SYSTEMS,30/12/1899 13:00:00,Lect,"2,5,9,11,12"
3,4,6,8,10,13,,,,,13130,P22436,30/12/1899 09:00:00,Mon,INTERACTION IN COMPUTER SYSTEMS,30/12/1899 11:00:00,Lect,"3,4,6,8,10,13"
6,,,,,,,,,,13131,P22436,30/12/1899 09:00:00,Fri,INTERACTION IN COMPUTER SYSTEMS,30/12/1899 12:55:00,Work,6
6,,,,,,,,,,13132,P22436,30/12/1899 13:00:00,Fri,INTERACTION IN COMPUTER SYSTEMS,30/12/1899 17:00:00,Work,6
12,,,,,,,,,,13133,P22436,30/12/1899 09:00:00,Fri,INTERACTION IN COMPUTER SYSTEMS,30/12/1899 12:55:00,Work,12
12,,,,,,,,,,13134,P22436,30/12/1899 13:00:00,Fri,INTERACTION IN COMPUTER SYSTEMS,30/12/1899 17:00:00,Work,12
