Postcodes,Latitude,Longitude
PO1 4NS,50.806656,-1.085871
PO1 4NT,50.807644,-1.084631
PO1 4NU,50.807486,-1.084009
PO1 4NX,50.806589,-1.083062
PO1 4NY,50.807145,-1.082952
PO1 4NZ,50.807145,-1.082952
PO1 4PA,50.806213,-1.083325
PO1 4PB,50.805813,-1.083957
PO1 4PD,50.805813,-1.083957
PO1 4PE,50.806182,-1.082843
PO1 4PG,50.806638,-1.082507
PO1 4PL,50.805516,-1.082756
PO1 4PN,50.805084,-1.082651
PO1 4PQ,50.807217,-1.081715
PO1 4PS,50.806061,-1.082306
PO1 4PT,50.80599,-1.081285
PO1 4PX,50.805321,-1.081937
PO1 4QA,50.804462,-1.085956
PO1 4QB,50.807413,-1.087247
PO1 4QG,50.80636,-1.087168
PO1 4QH,50.807138,-1.086642
PO1 4QL,50.80681,-1.087258
PO1 4QQ,50.806552,-1.086454
PO1 5AB,50.797486,-1.077124
PO1 5AD,50.797202,-1.076406
PO1 5AH,50.79924,-1.077203
PO1 5AJ,50.799889,-1.077304
PO1 5AL,50.796527,-1.076405
PO1 5AN,50.796573,-1.075354
PO1 5AP,50.797317,-1.076163
PO1 5AR,50.797712,-1.075034
PO1 5AS,50.796868,-1.074057
PO1 5AT,50.797809,-1.071371
PO1 5AU,50.797557,-1.071319
PO1 5AX,50.80082,-1.068856
PO1 5AY,50.799271,-1.069795
PO1 5AZ,50.797854,-1.072505
PO1 5BA,50.798107,-1.071535
PO1 5BB,50.799252,-1.070718
PO1 5BD,50.79876,-1.073381
PO1 5BE,50.797787,-1.073145
PO1 5BG,50.798451,-1.074083
PO1 5BH,50.79793,-1.074136
PO1 5BJ,50.797417,-1.074018
PO1 5BN,50.79771,-1.075829
PO1 5BP,50.796773,-1.075691
PO1 5BQ,50.798464,-1.072295
PO1 5BU,50.800633,-1.07702
PO1 5BW,50.797715,-1.075374
PO1 5BX,50.797329,-1.076602
PO1 5BZ,50.798706,-1.076717
PO1 5DF,50.799062,-1.076497
PO1 5DJ,50.799899,-1.075189
PO1 5DN,50.799676,-1.075449
PO1 5DP,50.800153,-1.075511
